mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	Trill:prallprall
4	4	29/2	29/2	1.0		5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	52							
4	4	31/2	31/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	53							
4	4	63/4	63/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	54							
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	55							
4	4	31/2	31/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	56							
4	4	12	12	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	57							
4	4	25/2	25/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	58							
4	4	13	13	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	59							
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	60							
4	4	14	14	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	61							
4	4	15	15	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	62							
5	5	16	16	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	63							
5	5	18	18	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	64							
5	5	37/2	37/2	1.0		5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	65							
5	5	39/2	39/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	66							
5	5	16	16	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	67							
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	68							
5	5	17	17	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	69							
5	5	35/2	35/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	70							
5	5	18	18	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	71							
5	5	19	19	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	72							
5	5	16	16	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	73							
5	5	18	18	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	74							
5	5	19	19	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	75							
5	5	16	16	0.5		0	0	Chord	4/4	2	2	1/8	1/8	1	76							
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	77							
5	5	17	17	0.5		1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	78							
5	5	35/2	35/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	79							
5	5	18	18	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	80							
5	5	19	19	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	81							
6	6	20	20	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	82							
6	6	41/2	41/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	83							
6	6	21	21	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	84							
6	6	43/2	43/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	85							
6	6	22	22	1.5		1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	86							
6	6	47/2	47/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	87							
6	6	20	20	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	88							
6	6	41/2	41/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	89							
6	6	21	21	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	90							
6	6	43/2	43/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	91							
6	6	22	22	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	92							
6	6	45/2	45/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	93							
6	6	23	23	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	94							
6	6	20	20	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	95							
6	6	41/2	41/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	96							
6	6	21	21	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	97							
6	6	43/2	43/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	98							
6	6	22	22	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	99							
6	6	23	23	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	100							
6	6	20	20	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	101							
6	6	22	22	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	102							
6	6	23	23	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	103							
7	7	24	24	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	104							
7	7	49/2	49/2	1.0		1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	105							
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	106							
7	7	26	26	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	107							
7	7	53/2	53/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	108							
7	7	27	27	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	109							
7	7	24	24	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	110							
7	7	49/2	49/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	111							
7	7	25	25	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	112							
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	113							
7	7	26	26	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	114							
7	7	53/2	53/2	1.0		5/8	5/8	Chord	4/4	1	2	1/4	1/4	1	115							
7	7	55/2	55/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	116							
7	7	24	24	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	117							
7	7	49/2	49/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	118							
7	7	25	25	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	119							
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	120							
7	7	26	26	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	121							
7	7	53/2	53/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	122							
7	7	27	27	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	123							
7	7	55/2	55/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	124							
8	8	28	28	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	125							
8	8	57/2	57/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	126							
8	8	29	29	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	127							
8	8	30	30	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	128							
8	8	31	31	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	129							
8	8	28	28	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	130							
8	8	57/2	57/2	1.0		1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	131							
8	8	59/2	59/2	1.0		3/8	3/8	Chord	4/4	1	2	1/4	1/4	1	132							
8	8	61/2	61/2	1.0		5/8	5/8	Chord	4/4	1	2	1/4	1/4	1	133							
8	8	63/2	63/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	134							
8	8	28	28	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	135							
8	8	57/2	57/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	136							
8	8	29	29	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	137							
8	8	59/2	59/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	138							
8	8	30	30	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	139							
8	8	61/2	61/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	140							
8	8	123/4	123/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	141							
8	8	31	31	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	142							
8	8	28	28	0.5		0	0	Chord	4/4	2	2	1/8	1/8	1	143							
8	8	57/2	57/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	144							
8	8	29	29	0.5		1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	145							
8	8	59/2	59/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	146							
8	8	30	30	0.5		1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	147							
8	8	61/2	61/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	148							
8	8	31	31	0.5		3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	149							
8	8	63/2	63/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	150							
9	9	32	32	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	151							
9	9	65/2	65/2	1.0		1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	152							
9	9	67/2	67/2	1.0		3/8	3/8	Chord	4/4	1	1	1/4	1/4	1	153							
9	9	69/2	69/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	154							
9	9	35	35	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	155							
9	9	32	32	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	156							
9	9	65/2	65/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	157							
9	9	33	33	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	158							
9	9	67/2	67/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	159							
9	9	34	34	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	160							
9	9	69/2	69/2	1.0		5/8	5/8	Chord	4/4	1	2	1/4	1/4	1	161							
9	9	71/2	71/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	162							
9	9	32	32	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	163							
9	9	65/2	65/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	164							
9	9	33	33	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	165							
9	9	67/2	67/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	166							
9	9	34	34	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	167							
9	9	69/2	69/2	1.0		5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	168							
9	9	71/2	71/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	169							
9	9	34	34	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	170							
9	9	35	35	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	171							
10	10	36	36	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	172							
10	10	37	37	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	173							
10	10	38	38	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	174							
10	10	77/2	77/2	1.0		5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	175							
10	10	79/2	79/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	176							
10	10	159/4	159/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	177							
10	10	36	36	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	178							
10	10	73/2	73/2	1.0		1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	179							
10	10	75/2	75/2	1.0		3/8	3/8	Chord	4/4	1	2	1/4	1/4	1	180							
10	10	36	36	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	181							
10	10	73/2	73/2	1.0		1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	182							
10	10	75/2	75/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	183							
10	10	151/4	151/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	184							
10	10	38	38	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	185							
10	10	39	39	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	186							
10	10	36	36	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	187							
10	10	37	37	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	188							
10	10	38	38	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	189							
10	10	39	39	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	190							
11	11	40	40	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	191							
11	11	81/2	81/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	192							
11	11	41	41	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	193							
11	11	83/2	83/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	194							
11	11	42	42	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	195							
11	11	85/2	85/2	1.0		5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	196							
11	11	87/2	87/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	197							
11	11	41	41	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	198							
11	11	83/2	83/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	199							
11	11	42	42	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	200							
11	11	43	43	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	201							
11	11	40	40	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	202							
11	11	81/2	81/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	203							
11	11	41	41	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	204							
11	11	83/2	83/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	205							
11	11	42	42	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	206							
11	11	43	43	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	207							
11	11	40	40	0.5		0	0	Chord	4/4	2	2	1/8	1/8	1	208							
11	11	81/2	81/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	209							
11	11	41	41	0.5		1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	210							
11	11	83/2	83/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	211							
11	11	42	42	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	212							
11	11	43	43	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	213							
12	12	44	44	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	214							
12	12	89/2	89/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	215							
12	12	179/4	179/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	216							
12	12	45	45	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	217							
12	12	91/2	91/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	218							
12	12	46	46	1.5		1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	219							
12	12	95/2	95/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	220							
12	12	44	44	1.5		0	0	Chord	4/4	1	2	3/8	1/4	3/2	221							
12	12	91/2	91/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	222							
12	12	46	46	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	223							
12	12	93/2	93/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	224							
12	12	47	47	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	225							
12	12	44	44	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	226							
12	12	89/2	89/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	227							
12	12	45	45	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	228							
12	12	91/2	91/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	229							
12	12	46	46	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	230							
12	12	47	47	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	231							
12	12	44	44	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	232							
12	12	46	46	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	233							
12	12	47	47	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	234							
13	13	48	48	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	235							
13	13	97/2	97/2	1.0		1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	236							
13	13	99/2	99/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	237							
13	13	50	50	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	238							
13	13	101/2	101/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	239							
13	13	203/4	203/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	240							
13	13	51	51	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	241							
13	13	103/2	103/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	242							
13	13	48	48	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	243							
13	13	97/2	97/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	244							
13	13	49	49	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	245							
13	13	99/2	99/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	246							
13	13	50	50	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	247							
13	13	51	51	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	248							
13	13	48	48	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	249							
13	13	97/2	97/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	250							
13	13	49	49	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	251							
13	13	99/2	99/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	252							
13	13	50	50	0.0		1/2	1/2	Spanner	4/4	2	1	0										3
13	13	50	50	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	253							3
13	13	51	51	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	254							3
13	13	48	48	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	255							
14	14	52	52	1.5		0	0	Chord	4/4	1	1	3/8	1/4	3/2	256							
14	14	107/2	107/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	257							
14	14	54	54	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	258							
14	14	109/2	109/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	259							
14	14	55	55	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	260							
14	14	111/2	111/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	261							
14	14	52	52	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	262							
14	14	105/2	105/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	263							
14	14	53	53	1.5		1/4	1/4	Chord	4/4	1	2	3/8	1/4	3/2	264							
14	14	109/2	109/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	265							
14	14	55	55	0.5		3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	266							
14	14	111/2	111/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	267							
14	14	52	52	0.0		0	0	Spanner	4/4	2	1	0										
14	14	52	52	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	268							
14	14	105/2	105/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	269							
14	14	53	53	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	270							
14	14	107/2	107/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	271							
14	14	54	54	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	272							
14	14	109/2	109/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	273							
14	14	55	55	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	274							
14	14	111/2	111/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	275							
14	14	52	52	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	276							
14	14	54	54	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	277							
15	15	56	56	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	278							
15	15	113/2	113/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	279							
15	15	57	57	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	280							
15	15	115/2	115/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	281							
15	15	58	58	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	282							
15	15	117/2	117/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	283							
15	15	59	59	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	284							
15	15	119/2	119/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	285							
15	15	57	57	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	286							
15	15	115/2	115/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	287							
15	15	58	58	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	288							
