mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible	slur
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	31					
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	32					4
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	33					4
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	34					4
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	35					
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	36					
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	37					
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	38					
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	39					
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	40					5
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	41					
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	42					6
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	43					
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	44					
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	45					
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	46					
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	47					
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	48					7
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	49					
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	50					8
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	51					
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	52					
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	53					
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	54					
8	8	21	21	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	55	ornamentTrill				
8	8	23	23	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	56					
8	8	23	23	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	57					
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	58					
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	59					
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	60					
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	61					
9	9	24	24	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	62					9
9	9	97/4	97/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	63					9
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	64					
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	65					
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	66					
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	67					
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	68					
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	69					
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	70					
10	10	27	27	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	71					10
10	10	109/4	109/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	72					10
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	73					
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	74					
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	75					
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	76					
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	77					
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	78					
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	79					
11	11	30	30	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	80					
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	81					
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	82					
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	83					
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	84					
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	85					
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	86					
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	87					
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	88					
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	89					
12	12	33	33	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	90					
12	12	33	33	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	91	ornamentMordent				
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	92					
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	93					
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	94					
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	95					
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	96					11
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	97					11
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	98					11
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	99					
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	100					
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	101					
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	102					
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	103					
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	104					12
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	105					12
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	106					12
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	107					
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	108					
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	109					
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	110					
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	111					
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	112					13
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	113					13
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	114					13
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	115					
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	116					
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	117					
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	118					
16	16	45	45	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	119					
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	120	ornamentShortTrill				14
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	121					
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	122					
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	123					
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	124					
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	125					
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	126					
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	127					15
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	128					15
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	129					15
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	130					
17	17	48	48	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	131					
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	132					
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	133					16
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	134					16
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	135					16
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	136					
18	18	51	51	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	137					
19	19	54	54	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	138					
19	19	54	54	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	139					
19	19	54	54	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	140					
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	141					
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	142					
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	143					
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	144					
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	145					
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	146					
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	147					
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	148	ornamentShortTrill				
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	149					17
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	150					
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	151					
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	152					
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	153					
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	154					
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	155					
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	156					
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	157					
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	158					
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	159					
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	160					
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	161					
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	162					
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	163					18
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	164					
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	165					19
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	166					
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	167					
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	168					
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	169					
23	23	66	66	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	170					
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	171					
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	172					
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	173					
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	174					
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	175					
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	176					
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	177					
24	24	69	69	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	178	ornamentTrill				
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	179					
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	180					
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	181					
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	182					
25	25	72	72	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	183					
25	25	289/4	289/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	184					
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	185					
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	186					
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	187					
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	188					
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	189					
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	190					
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	191					
26	26	75	75	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	192					
26	26	301/4	301/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	193					
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	194					
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	195					
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	196					
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	197					
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	198					
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	199					
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	200					
27	27	78	78	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	201					
27	27	313/4	313/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	202					
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	203					
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	204					20
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	205					20
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	206					20
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	207					
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	208					
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	209					
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	210					
28	28	81	81	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	211	ornamentMordent				
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	212					
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	213					
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	214					
