mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text
22	22	63	63	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	300		
22	22	255/4	255/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	301		
22	22	64	64	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	302	ornamentTrill	
22	22	131/2	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	303		
22	22	63	63	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	304		
22	22	255/4	255/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	305		
22	22	64	64	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	306		
22	22	65	65	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	307		
22	22	63	63	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	308		
22	22	64	64	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	309		
23	23	267/4	267/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	310		
23	23	67	67	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	311		
23	23	271/4	271/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	312		
23	23	68	68	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	313		
23	23	275/4	275/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	314		
23	23	66	66	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	315		
23	23	267/4	267/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	316		
23	23	67	67	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	317		
23	23	271/4	271/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	318		
23	23	68	68	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	319		
23	23	275/4	275/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	320		
23	23	66	66	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	321		
24	24	69	69	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	322		
24	24	279/4	279/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	323		
24	24	70	70	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	324		
24	24	283/4	283/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	325		
24	24	71	71	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	326		
24	24	287/4	287/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	327		
24	24	69	69	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	328		
24	24	279/4	279/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	329		
24	24	70	70	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	330		
24	24	283/4	283/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	331		
24	24	71	71	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	332		
24	24	287/4	287/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	333		
25	25	72	72	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	334		
25	25	73	73	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	335		
25	25	295/4	295/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	336		
25	25	74	74	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	337		
25	25	73	73	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	338		
25	25	295/4	295/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	339		
25	25	74	74	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	340		
25	25	72	72	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	341		
25	25	73	73	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	342		
25	25	295/4	295/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	343		
25	25	74	74	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	344		
25	25	72	72	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	345		
25	25	73	73	0.75		1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	346		
25	25	295/4	295/4	0.25		7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	347		
25	25	74	74	0.75		1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	348		
25	25	299/4	299/4	0.25		11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	349		
26	26	75	75	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	350		
26	26	303/4	303/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	351		
26	26	76	76	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	352		
26	26	307/4	307/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	353		
26	26	77	77	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	354		
26	26	311/4	311/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	355		
26	26	75	75	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	356		
26	26	76	76	2.0		1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	357		
26	26	75	75	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	358		
26	26	76	76	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	359		
26	26	307/4	307/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	360		
26	26	77	77	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	361		
26	26	311/4	311/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	362		
26	26	75	75	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	363		
26	26	76	76	2.0		1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	364		
27	27	78	78	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	365		
27	27	80	80	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	366		
27	27	78	78	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	367		
27	27	315/4	315/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	368		
27	27	79	79	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	369		
27	27	319/4	319/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	370		
27	27	80	80	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	371		
27	27	323/4	323/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	372		
27	27	78	78	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	373		
27	27	315/4	315/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	374		
27	27	79	79	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	375		
27	27	80	80	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	376		
27	27	323/4	323/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	377		
27	27	78	78	0.75		0	0	Chord	3/4	2	2	3/16	1/8	3/2	378		
27	27	315/4	315/4	0.25		3/16	3/16	Chord	3/4	2	2	1/16	1/16	1	379		
27	27	79	79	0.75		1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	380		
27	27	319/4	319/4	0.25		7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	381		
27	27	80	80	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	382		
28	28	81	81	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	383		
28	28	327/4	327/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	384		
28	28	82	82	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	385		
28	28	331/4	331/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	386		
28	28	83	83	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	387		
28	28	81	81	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	388		
28	28	82	82	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	389		
28	28	83	83	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	390		
28	28	335/4	335/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	391		
28	28	81	81	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	392		
28	28	327/4	327/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	393		
28	28	82	82	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	394		
28	28	331/4	331/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	395		
28	28	83	83	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	396		
28	28	335/4	335/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	397		
29	29	84	84	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	398		
29	29	339/4	339/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	399		
29	29	85	85	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	400		
29	29	86	86	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	401		
29	29	84	84	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	402		
29	29	85	85	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	403		
29	29	343/4	343/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	404		
29	29	86	86	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	405		
29	29	347/4	347/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	406		
29	29	85	85	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	407		
29	29	343/4	343/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	408		
29	29	86	86	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	409		
29	29	347/4	347/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	410		
29	29	84	84	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	411		
30	30	87	87	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	412		
30	30	351/4	351/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	413		
30	30	88	88	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	414		
30	30	89	89	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	415		
30	30	359/4	359/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	416		
30	30	87	87	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	417		
30	30	88	88	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	418		
30	30	355/4	355/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	419		
30	30	89	89	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	420		
30	30	87	87	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	421		
30	30	88	88	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	422		
30	30	355/4	355/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	423		
30	30	89	89	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	424		
30	30	87	87	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	425		
30	30	88	88	0.75		1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	426		
30	30	355/4	355/4	0.25		7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	427		
30	30	89	89	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	428		
31	31	90	90	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	429		
31	31	92	92	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	430		
31	31	90	90	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	431		
31	31	363/4	363/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	432		
31	31	91	91	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	433		
31	31	367/4	367/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	434		
31	31	92	92	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	435		
31	31	371/4	371/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	436		
31	31	90	90	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	437		
31	31	91	91	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	438		
31	31	367/4	367/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	439		
31	31	92	92	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	440		
31	31	371/4	371/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	441		
31	31	90	90	2.0		0	0	Chord	3/4	2	2	1/2	1/2	1	442		
31	31	92	92	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	443		
32	32	93	93	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	444		
32	32	375/4	375/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	445		
32	32	94	94	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	446		
32	32	379/4	379/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	447		
32	32	95	95	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	448		
32	32	93	93	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	449		
32	32	94	94	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	450		
32	32	95	95	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	451		
32	32	383/4	383/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	452		
32	32	93	93	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	453		
32	32	94	94	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	454		
32	32	379/4	379/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	455		
32	32	95	95	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	456		
32	32	93	93	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	457		
32	32	94	94	0.75		1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	458		
32	32	379/4	379/4	0.25		7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	459		
32	32	95	95	0.75		1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	460		
32	32	383/4	383/4	0.25		11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	461		
33	33	96	96	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	462		
33	33	97	97	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	463		
33	33	391/4	391/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	464		
33	33	98	98	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	465		
33	33	395/4	395/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	466		
33	33	96	96	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	467		
33	33	97	97	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	468		
33	33	391/4	391/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	469		
33	33	98	98	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	470		
33	33	395/4	395/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	471		
33	33	96	96	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	472		
33	33	97	97	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	473		
33	33	98	98	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	474		
33	33	96	96	0.75		0	0	Chord	3/4	2	2	3/16	1/8	3/2	475		
33	33	387/4	387/4	0.25		3/16	3/16	Chord	3/4	2	2	1/16	1/16	1	476		
33	33	97	97	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	477		
33	33	98	98	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	478		
34	34	99	99	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	479		
34	34	399/4	399/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	480		
34	34	100	100	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	481		
34	34	403/4	403/4	0.0		7/16	7/16	StaffText	3/4	1	1	0					♮
34	34	101	101	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	482		
34	34	407/4	407/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	483		
34	34	99	99	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	484		
34	34	399/4	399/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	485		
34	34	100	100	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	486		
34	34	403/4	403/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	487		
34	34	101	101	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	488		
34	34	99	99	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	489		
34	34	100	100	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	490		
34	34	403/4	403/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	491		
34	34	101	101	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	492		
34	34	407/4	407/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	493		
34	34	99	99	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	494		
35	35	102	102	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	495		
35	35	411/4	411/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	496		
35	35	103	103	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	497		
35	35	104	104	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	498		
35	35	419/4	419/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	499		
35	35	102	102	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	500		
35	35	411/4	411/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	501		
35	35	103	103	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	502		
35	35	415/4	415/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	503		
35	35	104	104	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	504		
35	35	419/4	419/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	505		
35	35	102	102	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	506		
35	35	103	103	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	507		
35	35	104	104	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	508		
35	35	102	102	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	509		
35	35	103	103	0.75		1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	510		
35	35	415/4	415/4	0.25		7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	511		
35	35	104	104	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	512		
36	36	105	105	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	513		
36	36	106	106	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	514		
36	36	107	107	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	515		
36	36	431/4	431/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	516		
36	36	105	105	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	517		
36	36	423/4	423/4	0.0		3/16	3/16	StaffText	3/4	1	2	0					♮
36	36	423/4	423/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	518		
36	36	106	106	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	519		
36	36	427/4	427/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	520		
36	36	107	107	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	521		
36	36	105	105	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	522		
36	36	423/4	423/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	523		
36	36	106	106	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	524		
36	36	427/4	427/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	525		
36	36	107	107	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	526		
36	36	105	105	2.0		0	0	Chord	3/4	2	2	1/2	1/2	1	527		
36	36	107	107	0.75		1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	528		
36	36	431/4	431/4	0.25		11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	529		
37	37	108	108	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	530		
37	37	110	110	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	531		
37	37	108	108	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	532		
37	37	435/4	435/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	533		
37	37	109	109	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	534		
37	37	439/4	439/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	535		
37	37	110	110	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	536		
37	37	443/4	443/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	537		
37	37	108	108	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	538		
38	38	111	111	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	539		
38	38	447/4	447/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	540		
38	38	112	112	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	541		
38	38	451/4	451/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	542		
38	38	113	113	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	543		
38	38	111	111	2.0		0	0	Chord	3/4	1	2	1/2	1/2	1	544		
38	38	113	113	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	545		
38	38	455/4	455/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	546		
38	38	111	111	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	547		
39	39	114	114	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	548		
39	39	459/4	459/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	549		
39	39	115	115	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	550		
39	39	116	116	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	551		
39	39	467/4	467/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	552		
39	39	114	114	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	553		
39	39	115	115	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	554		
39	39	463/4	463/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	555		
39	39	116	116	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	556		
39	39	114	114	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	557		
39	39	115	115	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	558		
39	39	463/4	463/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	559		
39	39	116	116	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	560		
40	40	117	117	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	561		
40	40	118	118	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	562		
40	40	475/4	475/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	563		
40	40	119	119	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	564		
40	40	117	117	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	565		
40	40	471/4	471/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	566		
40	40	118	118	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	567		
40	40	119	119	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	568		
40	40	479/4	479/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	569		
40	40	117	117	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	570		
40	40	118	118	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	571		
40	40	119	119	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	572		
41	41	120	120	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	573		
41	41	483/4	483/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	574		
41	41	121	121	2.0		1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	575		
41	41	120	120	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	576		
41	41	121	121	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	577		
41	41	487/4	487/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	578		
41	41	122	122	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	579		
41	41	491/4	491/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	580		
41	41	120	120	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	581		
41	41	121	121	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	582		
41	41	487/4	487/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	583		
41	41	122	122	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	584		
41	41	491/4	491/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	585		
41	41	120	120	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	586		
42	42	123	123	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	587		
42	42	495/4	495/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	588		
42	42	124	124	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	589		
42	42	125	125	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	590		
42	42	123	123	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	591		
42	42	124	124	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	592		
42	42	499/4	499/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	593		
42	42	125	125	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	594		
42	42	503/4	503/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	595		
42	42	495/4	495/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	596		
42	42	124	124	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	597		
42	42	499/4	499/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	598		
